"typeID","typeName","bpcost"
21013,"Capital Sensor Cluster",480000
21019,"Capital Capacitor Battery",500000
21027,"Capital Cargo Bay",1250000
21035,"Capital Computer System",700000
21037,"Capital Construction Parts",600000
24558,"Capital Ship Maintenance Bay",800000
24560,"Capital Corporate Hangar Bay",580000
21009,"Capital Propulsion Engine",500000
21011,"Capital Turret Hardpoint",800000
21017,"Capital Armor Plates",370000
21021,"Capital Power Generator",450000
21023,"Capital Shield Emitter",500000
21025,"Capital Jump Drive",500000
21039,"Capital Siege Array",600000
21041,"Capital Launcher Hardpoint",350000
28606,"Orca",70000000
19720,"Revelation",40000000
19722,"Naglfar",40000000
19724,"Moros",50000000
19726,"Phoenix",35000000
21029,"Capital Drone Bay",600000
23757,"Archon",60000000
23911,"Thanatos",30000000
23915,"Chimera",30000000
24483,"Nidhoggur",35000000
20183,"Providence",95000000
20185,"Charon",70000000
20187,"Obelisk",50000000
20189,"Fenrir",55000000
