"typeID","typeName"
621,"Caracal"
622,"Stabber"
623,"Moa"
624,"Maller"
625,"Augoror"
626,"Vexor"
627,"Thorax"
628,"Arbitrator"
629,"Rupture"
630,"Bellicose"
631,"Scythe"
632,"Blackbird"
633,"Celestis"
634,"Exequror"
638,"Raven"
639,"Tempest"
640,"Scorpion"
641,"Megathron"
642,"Apocalypse"
643,"Armageddon"
644,"Typhoon"
645,"Dominix"
648,"Badger"
649,"Badger Mark II"
650,"Iteron"
651,"Hoarder"
652,"Mammoth"
653,"Wreathe"
654,"Iteron Mark II"
655,"Iteron Mark III"
656,"Iteron Mark IV"
657,"Iteron Mark V"
4302,"Oracle"
4306,"Naga"
4308,"Talos"
4310,"Tornado"
16227,"Ferox"
16229,"Brutix"
16231,"Cyclone"
16233,"Prophecy"
17476,"Covetor"
17478,"Retriever"
17480,"Procurer"
24688,"Rokh"
24690,"Hyperion"
24692,"Abaddon"
24694,"Maelstrom"
24696,"Harbinger"
24698,"Drake"
24700,"Myrmidon"
24702,"Hurricane"
16236,"Coercer"
16238,"Cormorant"
16240,"Catalyst"
16242,"Thrasher"
32872,"Algos"
32874,"Dragoon"
32876,"Corax"
32878,"Talwar"
