linetype,characterID,characterName,transactTime,transactionID,transactionType,stationID,stationName,clientID,clientName,typeID,typeName,quantity,price,transactionFor
TRADE,90192277,Gynax Gallenor,2011-06-09 08:45:00,1842103859,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1492156391,Eric Sunshine,30836,Salvager II,4,700202.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 08:54:00,1842108269,buy,60005620,Parchanier VI - Core Complexion Inc. Warehouse,540863921,Shaisla,40,Megacyte,745,2400.16,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 08:57:00,1842110416,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,988669970,LazerusLong,38,Nocxium,485,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 09:00:00,1842111886,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1492156391,Eric Sunshine,3663,Large Hull Repairer I,1,92779.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 09:01:00,1842112194,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,1525768083,LEYANE DREALA,38,Nocxium,616,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 09:05:00,1842114276,buy,60011983,Auvergne V - Moon 5 - Federal Intelligence Office Assembly Plant,90809964,Tsangdhori,38,Nocxium,6,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 09:32:00,1842129388,buy,60012040,Misneden IV - Moon 2 - Federation Customs Testing Facilities,90503943,Graf Aideron,38,Nocxium,2,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 10:07:00,1842148957,buy,60011923,Grinacanne I - Federal Intelligence Office Assembly Plant,90745633,Knockout Jenkins,40,Megacyte,7,2400.16,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 10:28:00,1842161223,buy,60012040,Misneden IV - Moon 2 - Federation Customs Testing Facilities,90616349,Chad Starkiller,38,Nocxium,148,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 10:29:00,1842161654,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1450287205,Amazeroth,8261,Beta Reactor Control: Reaction Control I,2,165285.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 10:46:00,1842173165,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,828189808,Syrodin,38,Nocxium,13,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 10:53:00,1842178178,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1190226993,Cpt JackSparow,10221,Cybernetic Subprocessor - Standard,1,18903549.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 10:55:00,1842178963,buy,60005617,Deltole III - Moon 1 - Core Complexion Inc. Warehouse,90565754,Cina White,40,Megacyte,6,2400.16,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 12:01:00,1842191158,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,890135300,Natose,38,Nocxium,37,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 12:41:00,1842210435,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,465066503,Dark Cibertron,38,Nocxium,8,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 12:54:00,1842218826,buy,60009598,Metserel V - Moon 8 - Astral Mining Inc. Mineral Reserve,90778958,Luk Hunter,40,Megacyte,2,2400.16,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 13:05:00,1842225140,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,90250391,ROSACHG,38,Nocxium,84,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 13:17:00,1842233169,buy,60011983,Auvergne V - Moon 5 - Federal Intelligence Office Assembly Plant,90814834,Voel,38,Nocxium,23,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 13:59:00,1842261597,buy,60011983,Auvergne V - Moon 5 - Federal Intelligence Office Assembly Plant,90051678,SERIFOS,38,Nocxium,41,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 14:00:00,1842262249,buy,60011926,Decon VI - Moon 10 - Federal Intelligence Office Assembly Plant,1375741962,Kira Corona,38,Nocxium,11,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 14:09:00,1842268112,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90803520,Jiali Sying,608,Atron,1,44244.99,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 14:28:00,1842281191,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1943416777,Doomed Undead,3663,Large Hull Repairer I,2,92779.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 14:31:00,1842283209,buy,60011923,Grinacanne I - Federal Intelligence Office Assembly Plant,90720930,HornHammer4 Ovaert,40,Megacyte,1,2400.16,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 14:48:00,1842296471,buy,60011851,Fricoure VIII - Moon 2 - Federation Navy Assembly Plant,90355318,Reilina Starwind,23007,Federation Navy Iron Charge L,2500,750.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 14:56:00,1842302120,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,1663659347,Kikuchyo,38,Nocxium,4,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 14:58:00,1842303675,buy,60010378,Ane IV - Moon 3 - Roden Shipyards Warehouse,90764297,M0na,34,Tritanium,1,2.61,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 15:03:00,1842307670,buy,60010450,Augnais VI - Moon 1 - Poteque Pharmaceuticals Biotech Production,90671459,Doran Achasse,40,Megacyte,3,2400.16,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 15:08:00,1842311109,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,1314153540,Cthrek,38,Nocxium,16,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 15:11:00,1842313367,buy,60011923,Grinacanne I - Federal Intelligence Office Assembly Plant,90720930,HornHammer4 Ovaert,40,Megacyte,4,2400.16,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 15:33:00,1842332324,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,90284176,Gregor Tagent,38,Nocxium,7,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 15:41:00,1842338671,buy,60011941,Haine III - Moon 2 - Federal Intelligence Office Logistic Support,90574379,Michaelangelo en Divalone,23007,Federation Navy Iron Charge L,240,100.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 15:43:00,1842340364,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,1659412286,papyrus29,38,Nocxium,3,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 15:54:00,1842350251,buy,60015016,Trossere VII - Moon 3 - University of Caille School,90840181,Anus Popular67,20,Kernite,8,127.52,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 15:58:00,1842352845,buy,60005617,Deltole III - Moon 1 - Core Complexion Inc. Warehouse,1882225363,vennemuske,40,Megacyte,22,2400.16,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 16:00:00,1842354569,buy,60001864,Dodixie IX - Moon 9 - Nugoeihuvi Corporation Development Studio,915496340,pikapete,38,Nocxium,107,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 16:06:00,1842359453,buy,60010204,Seyllin VIII - Moon 14 - CreoDron Warehouse,90791617,White Mongoose,34,Tritanium,6857,2.61,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 16:07:00,1842360482,buy,60010126,Avele V - Moon 11 - CreoDron Warehouse,90733611,Y'saata Cuebiyari,39,Zydrine,2,810.01,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 16:11:00,1842364137,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,2021568085,Saeko Kakugo,38,Nocxium,31,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 16:18:00,1842369280,buy,60015032,Mesokel I - Federal Navy Academy School,90816522,noyogo Oriki,34,Tritanium,5772,2.61,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 16:57:00,1842402837,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,90250391,ROSACHG,38,Nocxium,67,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 16:58:00,1842403685,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,90378061,Tco Thiesant,38,Nocxium,559,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 16:59:00,1842404363,buy,60011791,Ation IX - Moon 4 - Federation Navy Logistic Support,90513809,Ze Orcidect,38,Nocxium,103,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 17:06:00,1842411418,buy,60011791,Ation IX - Moon 4 - Federation Navy Logistic Support,90786665,Zona Solyaris,38,Nocxium,56,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 17:15:00,1842419271,buy,60015032,Mesokel I - Federal Navy Academy School,90785270,Taja Jolina,34,Tritanium,8088,2.61,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 17:51:00,1842453474,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,360871069,Bath Sheeba,1319,Expanded Cargohold II,5,475607.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 17:53:00,1842455367,buy,60011983,Auvergne V - Moon 5 - Federal Intelligence Office Assembly Plant,1232087784,Neilon,38,Nocxium,139,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 17:54:00,1842455867,buy,60005224,Ane IV - Moon 18 - Republic Security Services Logistic Support,90791617,White Mongoose,34,Tritanium,18012,2.61,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 17:55:00,1842457539,buy,60005224,Ane IV - Moon 18 - Republic Security Services Logistic Support,90791617,White Mongoose,34,Tritanium,3486,2.61,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 18:13:00,1842474086,buy,60010252,Harerget V - Moon 1 - CreoDron Factory,258098690,Webmug,20,Kernite,50,120.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 18:20:00,1842481706,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,440058735,Ilaniol,38,Nocxium,583,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 18:23:00,1842484195,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,1795458827,Plaximus jr,38,Nocxium,2,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 18:28:00,1842489609,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,1110632778,PrincessLeiaOrgana,38,Nocxium,622,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 18:30:00,1842491446,buy,60012055,Torvi VII - Moon 1 - Federation Customs Logistic Support,90780067,Mikael Armer,20,Kernite,140,120.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 18:52:00,1842514321,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,247650640,Iknaton,38,Nocxium,95,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 18:54:00,1842516781,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,243763050,Nth Ares,38,Nocxium,36,375.08,personal
TRADE,90192277,Gynax Gallenor,2011-06-09 19:17:00,1842542697,buy,60011788,Jel VI - Federation Navy Logistic Support,1732602461,mattlols,40,Megacyte,1,2380.01,personal
