linetype,characterID,characterName,transactTime,transactionID,transactionType,stationID,stationName,clientID,clientName,typeID,typeName,quantity,price,transactionFor
TRADE,90192277,Gynax Gallenor,2011-04-03 02:56:00,1773085645,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,924658137,Sylvie Falconer,223,Iron Charge M,2200,13.29,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 03:23:00,1773103202,buy,60005194,Bawilan V - Republic Security Services Assembly Plant,90479982,Chad Bro'ington,223,Iron Charge M,16,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 03:45:00,1773117534,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90560571,Vanessa Cromwell,223,Iron Charge M,10000,13.29,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 04:04:00,1773128918,buy,60010348,Jel VIII - Moon 12 - Roden Shipyards Factory,90126591,Norendith Bosch,11105,Magnetic Vortex Stabilizer I,1,280000.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 04:10:00,1773132611,buy,60011851,Fricoure VIII - Moon 2 - Federation Navy Assembly Plant,1608031646,Subsider,223,Iron Charge M,200,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 04:21:00,1773139604,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,360871069,Bath Sheeba,1319,Expanded Cargohold II,17,556112.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 04:27:00,1773143439,buy,60011740,Oursulaert III - Federation Navy Testing Facilities,90427475,Zieg Feild,230,Antimatter Charge M,100,27.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 05:13:00,1773173093,buy,60015016,Trossere VII - Moon 3 - University of Caille School,90395032,Breena Costigan,20,Kernite,305,126.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 05:59:00,1773201248,buy,60002473,Pucherie V - Moon 2 - Expert Distribution Warehouse,395499196,Xenocide654,20,Kernite,286,126.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 06:01:00,1773202826,buy,60011797,Jel VIII - Moon 20 - Federation Navy Assembly Plant,1898496685,Chuyck,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 06:29:00,1773220072,buy,60009676,Agrallarier VIII - Moon 3 - Astral Mining Inc. Refinery,90550495,Quentin Audene,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 06:44:00,1773230147,buy,60000025,Ardene VIII - Moon 5 - CBD Corporation Storage,638964512,Reginald VonFeet,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 06:45:00,1773230308,buy,60015016,Trossere VII - Moon 3 - University of Caille School,90598614,EllPolioLoco,20,Kernite,234,126.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 06:50:00,1773233520,sell,60011854,Mirilene IV - Moon 1 - Federation Navy Logistic Support,1232434516,Deng Frostmane,656,Iteron Mark IV,1,800000.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 07:14:00,1773249543,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90308241,Evgeny Zverev,223,Iron Charge M,2000,13.29,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 07:47:00,1773271739,buy,60011740,Oursulaert III - Federation Navy Testing Facilities,684868774,Tera Phim,230,Antimatter Charge M,100,27.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 08:09:00,1773287304,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90512631,Einrasty,223,Iron Charge M,4000,13.29,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 08:54:00,1773321067,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1631437543,KATCHAOS,31372,Medium Capacitor Control Circuit I,2,1749799.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 09:03:00,1773327430,buy,60011740,Oursulaert III - Federation Navy Testing Facilities,90384743,Steph Auscent,230,Antimatter Charge M,1,27.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 09:18:00,1773339587,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,90152675,kornach,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 09:48:00,1773363138,buy,60015016,Trossere VII - Moon 3 - University of Caille School,90569145,rocky solo,20,Kernite,50,126.10,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 09:55:00,1773369440,buy,60003556,Pozirblant VIII - Moon 2 - Caldari Business Tribunal Information Center,800699561,Nephite Darkside,20,Kernite,111,126.10,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 09:56:00,1773369671,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,90135890,hirnisoft,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 10:18:00,1773389075,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90135890,hirnisoft,230,Antimatter Charge M,3000,32.00,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 10:21:00,1773391996,buy,60014743,Ardene VIII - Moon 11 - Center for Advanced Studies School,90299253,Apteryx Bedala,2048,Damage Control II,1,506102.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 10:23:00,1773393067,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1958542274,zunewantan,230,Antimatter Charge M,20000,31.21,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 10:24:00,1773394195,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90492148,Justinian XXVI,17940,Mining Barge,1,589999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 10:31:00,1773399918,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90547142,Jacqueline Shepard,17940,Mining Barge,1,589999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 10:34:00,1773403096,buy,60015016,Trossere VII - Moon 3 - University of Caille School,90600781,Natsya Medovic,20,Kernite,73,126.10,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 10:35:00,1773403156,buy,60011872,Aunia I - Moon 11 - Federation Navy Assembly Plant,537975316,Cipher 0,223,Iron Charge M,100,9.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 10:46:00,1773413257,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1688732760,denirone,230,Antimatter Charge M,5000,31.21,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 11:30:00,1773427629,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90425723,Izo Chastot,230,Antimatter Charge M,5000,31.21,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:07:00,1773448724,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,652959804,Nublark Wemblo,17482,Strip Miner I,8,1728772.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:22:00,1773460284,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1557327954,SuperNomad,652,Mammoth,1,1219995.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:23:00,1773460685,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1557327954,SuperNomad,1319,Expanded Cargohold II,4,623999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:24:00,1773461601,buy,60010489,Bille IX - Moon 3 - Impetus Development Studio,1175370907,Superkaj,17471,Dense Veldspar,13806,8.01,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:31:00,1773467566,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90565620,Martin Dune,31372,Medium Capacitor Control Circuit I,1,1699999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:32:00,1773468139,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1243956837,stefani Countless,1319,Expanded Cargohold II,11,623999.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:33:00,1773468866,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,1243956837,stefani Countless,230,Antimatter Charge M,37469,31.19,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:35:00,1773470811,buy,60010489,Bille IX - Moon 3 - Impetus Development Studio,1175370907,Superkaj,17471,Dense Veldspar,13806,8.01,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:41:00,1773475604,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,864020425,Zaul Nex,31372,Medium Capacitor Control Circuit I,2,1699999.99,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:48:00,1773481603,buy,60011569,Bille X - Moon 1 - University of Caille School,1175370907,Superkaj,17471,Dense Veldspar,13806,8.01,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:50:00,1773483320,buy,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,90577737,Quantum Tech Maniac,14278,200mm Prototype I Gauss Gun,5,3114803.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 12:58:00,1773491088,buy,60011740,Oursulaert III - Federation Navy Testing Facilities,90402808,Tom Hutchison,230,Antimatter Charge M,100,27.08,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 13:00:00,1773492779,buy,60010489,Bille IX - Moon 3 - Impetus Development Studio,1175370907,Superkaj,17471,Dense Veldspar,13806,8.01,personal
TRADE,90192277,Gynax Gallenor,2011-04-03 13:08:00,1773500309,sell,60011866,Dodixie IX - Moon 20 - Federation Navy Assembly Plant,649699321,Matashichi,17476,Covetor,1,17799992.08,personal
